id,previous_reading,current_reading,excess_consumption,total_consumed,finished_at,period_id,water_meter_id,code,created_at,created_by_id,operator_id,status,updated_at,updated_by_id
12797,206,206,0,0,2025-05-01 17:40:01.074886 +00:00,49,646,LE-10025,2025-05-01 12:08:58.257949 +00:00,,3,F,2025-05-01 17:40:01.091178 +00:00,
12813,781,781,0,0,2025-05-01 17:40:13.930473 +00:00,49,662,LE-10041,2025-05-01 12:08:58.258295 +00:00,,3,F,2025-05-01 17:40:13.939647 +00:00,
12812,5290,5331,31,41,2025-05-01 18:13:42.178783 +00:00,49,661,LE-10040,2025-05-01 12:08:58.258278 +00:00,,3,F,2025-05-01 18:13:42.243855 +00:00,
12807,3840,3841,0,1,2025-05-01 18:17:19.724670 +00:00,49,656,LE-10035,2025-05-01 12:08:58.258183 +00:00,,3,F,2025-05-01 18:17:19.737362 +00:00,
12775,186,189,0,3,2025-05-01 19:50:20.834379 +00:00,49,624,LE-10003,2025-05-01 12:08:58.257439 +00:00,,3,F,2025-05-01 19:50:20.847040 +00:00,
12774,2822,2842,10,20,2025-05-01 20:04:02.886624 +00:00,49,623,LE-10002,2025-05-01 12:08:58.257404 +00:00,,3,F,2025-05-01 20:04:02.892823 +00:00,
12778,4670,4685,5,15,2025-05-01 20:12:40.531491 +00:00,49,627,LE-10006,2025-05-01 12:08:58.257496 +00:00,,3,F,2025-05-01 20:12:40.547391 +00:00,
12779,4273,4299,16,26,2025-05-01 20:20:06.528422 +00:00,49,628,LE-10007,2025-05-01 12:08:58.257513 +00:00,,3,F,2025-05-01 20:20:06.544909 +00:00,
12787,2759,2768,0,9,2025-05-01 20:44:29.802643 +00:00,49,636,LE-10015,2025-05-01 12:08:58.257748 +00:00,,3,F,2025-05-01 20:44:29.817939 +00:00,
12776,1245,1248,0,3,2025-05-01 20:54:12.352738 +00:00,49,625,LE-10004,2025-05-01 12:08:58.257456 +00:00,,3,F,2025-05-01 20:54:12.374088 +00:00,
12808,1355,1360,0,5,2025-05-02 21:30:23.096441 +00:00,49,657,LE-10036,2025-05-01 12:08:58.258200 +00:00,,3,F,2025-05-02 21:30:23.107481 +00:00,
12783,1061,1084,13,23,2025-05-05 14:38:51.313072 +00:00,49,632,LE-10011,2025-05-01 12:08:58.257617 +00:00,,3,F,2025-05-05 14:38:51.324425 +00:00,
12784,2719,2730,1,11,2025-05-05 14:49:35.662181 +00:00,49,633,LE-10012,2025-05-01 12:08:58.257692 +00:00,,3,F,2025-05-05 14:49:35.669006 +00:00,
12772,1196,1197,0,1,2025-05-05 15:10:12.633859 +00:00,49,621,LE-10000,2025-05-01 12:08:58.257370 +00:00,,3,F,2025-05-05 15:10:12.647388 +00:00,
12766,1148,1151,0,3,2025-05-05 15:23:37.866580 +00:00,49,615,LE-09994,2025-05-01 12:08:58.257217 +00:00,,3,F,2025-05-05 15:23:37.878272 +00:00,
12767,462,462,0,0,2025-05-05 15:34:01.176906 +00:00,49,616,LE-09995,2025-05-01 12:08:58.257245 +00:00,,3,F,2025-05-05 15:34:01.192179 +00:00,
12773,197,197,0,0,2025-05-05 16:02:58.695948 +00:00,49,622,LE-10001,2025-05-01 12:08:58.257387 +00:00,,3,F,2025-05-05 16:02:58.711379 +00:00,
12768,1008,1014,0,6,2025-05-05 16:11:57.736031 +00:00,49,617,LE-09996,2025-05-01 12:08:58.257261 +00:00,,3,F,2025-05-05 16:11:57.753455 +00:00,
12769,1026,1026,0,0,2025-05-05 18:15:30.682138 +00:00,49,618,LE-09997,2025-05-01 12:08:58.257278 +00:00,,3,F,2025-05-05 18:15:30.691824 +00:00,
12815,2832,2852,10,20,2025-05-05 18:29:54.567859 +00:00,49,664,LE-10043,2025-05-01 12:08:58.258327 +00:00,,3,F,2025-05-05 18:29:54.583951 +00:00,
